기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-09,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,2,7800,15600
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,5,7800,39000
2026-07-14,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,1,7800,7800
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,2,7800,15600
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,2,7800,15600
2026-07-23,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,2,7800,15600
2026-07-26,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,2,7800,15600
2026-07-27,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,1,7800,7800
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,1,7800,7800
2026-07-01,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,8,6900,55200
2026-07-06,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,1,6900,6900
2026-07-09,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,2,6900,13800
2026-07-11,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,4,6900,27600
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,3,6900,20700
2026-07-13,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,2,6900,13800
2026-07-17,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,6,6900,41400
2026-07-20,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,1,6900,6900
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,3,6900,20700
2026-07-22,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,2,6900,13800
2026-07-31,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,4,6900,27600
2026-07-12,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103827,촉촉연유브래드,3,6900,20700
2026-07-21,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103827,촉촉연유브래드,3,6900,20700
2026-07-24,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103827,촉촉연유브래드,4,6900,27600
2026-07-30,밀도,밀도 성수점,폐기,유통기한초과(폐기),미니식빵,103827,촉촉연유브래드,1,6900,6900
